Country,Top 1% Share of Income,Murder Rate (per 100k)
AE,0.1531,0.4637824877
AF,0.1508,6.6555611518
AL,0.0924,2.2894924438
AM,0.15,1.693915557
AO,0.2598,4.8470751765
AR,0.1514,5.3244787387
AT,0.1074,0.96722860774
AU,0.0992,0.89163240342
AZ,0.1399,2.2011074485
BA,0.0944,1.1733102602
BD,0.1616,2.3733287962
BE,0.0856,1.6900542148
BF,0.1556,1.2504405198
BG,0.1657,1.3046665939
BH,0.2434,0.52392346825
BI,0.1474,6.0545373656
BJ,0.1403,1.1274974068
BN,0.1314,0.49454272107
BO,0.1962,6.2183744444
BR,0.2223,27.382530291
BS,0.1962,31.958171469
BT,0.14,1.193007386
BW,0.2274,15.248305828
BY,0.0961,2.3908727902
BZ,0.1962,37.788570288
CA,0.1391,1.755921136
CF,0.31,20.120400654
CH,0.0986,0.58646802447
CL,0.2287,4.4048944838
CM,0.1585,1.388093415
CN,0.1572,0.52709078934
CO,0.1778,25.343802597
CR,0.1772,11.261254504
CU,0.1513,5.0462686372
CY,0.089,1.2612864112
DE,0.1332,0.9479766191
DK,0.1341,1.0083219593
DO,0.291,10.04973395
DZ,0.0991,1.3642763974
EC,0.1694,5.8006273457
EE,0.1625,2.1165412994
EG,0.1808,2.5537407964
ES,0.1144,0.62107992821
ET,0.1382,8.7924785474
FI,0.1181,1.6296716121
FR,0.0895,1.1986365025
GB,0.1274,1.2049147774
GE,0.2111,2.2233624935
GH,0.1523,2.0912410173
GR,0.1001,0.94086394499
GT,0.1962,22.501348718
GW,0.1196,1.1487047533
GY,0.1962,14.248909188
HK,0.1785,0.65113634144
HN,0.1962,38.925591104
HR,0.0934,0.57742179724
HT,0.1962,6.67974266
HU,0.1112,2.4871986353
ID,0.1785,0.43453458884
IE,0.1216,0.8716054599
IL,0.1604,1.492021506
IN,0.2173,3.0792324418
IQ,0.2013,10.070253211
IR,0.1807,2.4991683746
IS,0.0932,0.89096913683
IT,0.1217,0.5690506607
JM,0.1962,43.852281528
JO,0.1705,1.3591066275
JP,0.1286,0.26257409562
KE,0.1519,4.9287280243
KG,0.1809,2.1890776131
KH,0.1813,1.8430110785
KR,0.117,0.60384939332
KW,0.1896,1.8215197327
KZ,0.1488,5.06083427
LB,0.2053,2.4929265033
LK,0.2047,2.4212436336
LR,0.122,3.2642899734
LS,0.1446,43.56460456
LT,0.125,4.5693560421
LU,0.1214,0.33788692276
LV,0.0864,4.3558049657
MA,0.1514,1.4155228849
MD,0.113,4.0967929022
ME,0.086,2.2299989009
MK,0.0773,1.2002168072
MM,0.1666,2.2584513256
MN,0.1605,6.1825479289
MT,0.1065,1.5936073579
MU,0.1589,2.9198600992
MV,0.1308,0.72186182602
MW,0.1502,1.8121578253
MX,0.2681,29.071061625
MY,0.1487,2.1276651339
MZ,0.3111,3.5100775194
NE,0.1657,4.4281581632
NG,0.1159,34.524045903
NI,0.1962,7.1859479027
NL,0.0688,0.58618158968
NO,0.089,0.46834371183
NP,0.1372,2.2997839964
NZ,0.1187,0.74435950948
OM,0.1907,0.26918034172
PA,0.1962,9.3850224618
PE,0.2812,7.9092238628
PG,0.1637,9.7530788541
PH,0.1662,6.4649881651
PK,0.1665,3.8830827302
PL,0.1516,0.73045470014
PS,0.1742,0.49352474965
PT,0.0939,0.78976680624
PY,0.1962,7.1448399951
QA,0.2244,0.36597237641
RO,0.1446,1.2816496985
RS,0.1554,1.2268905787
RU,0.2376,8.209475626
RW,0.1989,2.5771686082
SA,0.2098,1.2658157867
SC,0.2056,12.537743833
SD,0.1536,5.1480839388
SE,0.117,1.0830726772
SG,0.1027,0.15631776484
SI,0.0835,0.48126993661
SK,0.0721,1.1369852689
SL,0.1502,1.7289678383
SN,0.1433,0.26751815179
SR,0.1962,5.433820449
SS,0.1553,14.870994126
ST,0.0895,3.2516624124
SV,0.1367,52.018926167
SY,0.2066,0.87931221497
SZ,0.1933,11.55752804
TH,0.1776,2.5820036484
TJ,0.1453,1.6368936072
TL,0.1523,4.0959830945
TM,0.195,4.2202741972
TN,0.1091,3.0607561008
TR,0.1878,2.5904756723
TT,0.1962,30.649506835
TW,0.1933,0.81502799557
TZ,0.1815,6.4826575903
UA,0.0933,6.1837305712
UG,0.1929,10.524460278
US,0.1903,4.9569505476
UY,0.1339,12.060453021
UZ,0.1665,1.1358027751
VE,0.1962,36.687634837
VN,0.1574,1.5280509191
YE,0.242,6.7721494222
ZA,0.1931,36.399174149
ZM,0.2317,5.3717496349
ZW,0.2108,7.4798997709
